id,hole,index,par,strokes,fir,putts
1,1,15,4,8,FALSE,2
1,2,13,4,5,TRUE,2
1,3,5,4,4,FALSE,1
1,4,7,5,5,TRUE,1
1,5,9,3,6,FALSE,3
1,6,1,4,4,TRUE,1
1,7,3,5,6,FALSE,1
1,8,17,3,6,FALSE,2
1,9,11,4,5,TRUE,2
2,1,7,4,6,FALSE,3
2,2,11,4,7,FALSE,3
2,3,1,5,6,FALSE,1
2,4,5,4,5,FALSE,2
2,5,15,3,5,FALSE,2
2,6,9,4,5,FALSE,3
2,7,13,5,6,FALSE,2
2,8,17,3,3,FALSE,1
2,9,3,4,7,FALSE,2
3,1,3,4,8,FALSE,2
3,2,7,4,5,TRUE,2
3,3,11,4,7,FALSE,2
3,4,15,3,5,FALSE,2
3,5,5,5,7,FALSE,2
3,6,9,4,6,TRUE,3
3,7,17,3,3,FALSE,2
3,8,13,4,5,FALSE,1
3,9,1,4,7,FALSE,1
3,10,14,4,5,FALSE,1
3,11,12,4,7,FALSE,3
3,12,16,3,5,FALSE,2
3,13,6,4,7,TRUE,1
3,14,4,4,7,FALSE,3
3,15,2,4,6,FALSE,2
3,16,8,5,5,FALSE,1
3,17,18,3,4,FALSE,2
3,18,10,4,7,TRUE,2
5,1,6,4,4,FALSE,1
5,2,7,3,3,FALSE,1
5,3,1,5,5,FALSE,2
5,4,9,3,6,FALSE,3
5,5,4,4,4,FALSE,2
5,6,3,5,5,FALSE,1
5,7,5,4,6,TRUE,2
5,8,2,5,7,TRUE,2
5,9,8,3,4,FALSE,2
6,1,13,5,7,FALSE,3
6,2,17,5,5,FALSE,2
6,3,1,4,6,FALSE,0
6,4,15,3,5,FALSE,2
6,5,7,4,5,TRUE,2
6,6,11,4,4,TRUE,2
6,7,3,4,5,FALSE,2
6,8,5,3,5,FALSE,2
6,9,9,5,8,FALSE,3
7,1,4,4,7,TRUE,2
7,2,8,4,6,FALSE,2
7,3,3,5,5,TRUE,2
7,4,1,4,5,FALSE,2
7,5,5,3,7,FALSE,3
7,6,7,5,8,FALSE,2
7,7,6,4,7,FALSE,2
7,8,2,4,7,FALSE,2
7,9,9,3,6,FALSE,3
8,1,15,4,7,FALSE,2
8,2,1,5,6,FALSE,3
8,3,5,3,5,FALSE,2
8,4,17,3,4,FALSE,2
8,5,3,5,5,TRUE,3
8,6,9,4,6,FALSE,1
8,7,11,3,5,FALSE,2
8,8,7,5,7,FALSE,1
8,9,13,3,6,FALSE,2
8,10,14,4,5,FALSE,2
8,11,6,4,6,FALSE,3
8,12,12,3,7,FALSE,2
8,13,16,4,4,FALSE,2
8,14,10,4,5,TRUE,2
8,15,8,5,6,FALSE,3
8,16,18,3,5,FALSE,3
8,17,2,4,7,TRUE,3
8,18,4,4,5,TRUE,3
9,1,9,4,7,TRUE,2
9,2,7,5,7,FALSE,3
9,3,13,3,4,FALSE,2
9,4,1,5,9,FALSE,3
9,5,15,3,5,FALSE,3
9,6,3,4,6,FALSE,3
9,7,11,4,4,TRUE,2
9,8,5,4,6,FALSE,1
9,9,17,4,4,FALSE,1
10,1,17,4,6,FALSE,3
10,2,9,4,8,FALSE,2
10,3,13,3,5,FALSE,2
10,4,15,4,5,TRUE,2
10,5,3,3,5,FALSE,2
10,6,1,5,6,FALSE,2
10,7,7,4,4,TRUE,1
10,8,11,4,6,FALSE,1
10,9,5,4,5,FALSE,1
11,1,2,5,6,FALSE,2
11,2,1,5,7,FALSE,3
11,3,8,4,5,FALSE,1
11,4,5,3,5,FALSE,2
11,5,3,4,7,FALSE,3
11,6,6,3,4,FALSE,1
11,7,7,4,4,FALSE,1
11,8,4,4,5,TRUE,2
11,9,9,3,4,FALSE,2
12,1,9,4,7,FALSE,3
12,2,7,5,6,TRUE,3
12,3,13,3,8,FALSE,3
12,4,1,5,6,FALSE,1
12,5,15,3,4,FALSE,2
12,6,3,4,4,TRUE,1
12,7,11,4,5,TRUE,2
12,8,5,4,8,FALSE,2
12,9,17,4,5,FALSE,2
13,1,15,4,5,TRUE,3
13,2,1,5,7,TRUE,2
13,3,5,3,6,FALSE,2
13,4,17,3,5,FALSE,2
13,5,3,5,7,TRUE,2
13,6,9,4,4,FALSE,1
13,7,11,3,6,FALSE,3
13,8,7,5,6,FALSE,2
13,9,13,3,4,FALSE,2
13,10,14,4,4,TRUE,2
13,11,6,4,8,FALSE,3
13,12,12,3,5,FALSE,3
13,13,16,4,6,FALSE,3
13,14,10,4,7,TRUE,3
13,15,8,5,5,TRUE,2
13,16,18,3,4,FALSE,2
13,17,2,4,7,FALSE,2
13,18,4,4,7,FALSE,3
14,1,3,4,6,TRUE,2
14,2,5,4,5,TRUE,2
14,3,1,4,5,TRUE,3
14,4,13,3,5,FALSE,2
14,5,15,4,7,FALSE,3
14,6,17,4,5,FALSE,3
14,7,9,5,10,FALSE,2
14,8,7,4,5,TRUE,2
14,9,11,3,5,FALSE,2
14,10,2,5,7,FALSE,2
14,11,6,4,8,FALSE,2
14,12,4,4,8,FALSE,2
14,13,12,3,5,FALSE,2
14,14,16,4,5,FALSE,2
14,15,18,4,5,TRUE,2
14,16,14,4,5,TRUE,2
14,17,8,4,7,FALSE,3
14,18,10,3,3,FALSE,2
15,1,12,5,6,FALSE,2
